Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,genres
2023-05-14,Air,2023.0,https://boxd.it/4ff8tn,4.0,,amazonprime,2023-05-13,"['Drama', 'History']"
2023-05-13,Whip It,2009.0,https://boxd.it/4f1iML,3.5,,hbomax,2023-05-12,['Drama']
2023-05-12,The Cook,1918.0,https://boxd.it/4eN8Qv,3.0,,youtube,2023-05-11,"['Comedy', 'Horror']"
2023-05-12,Tangled,2010.0,https://boxd.it/4eM1QL,3.5,,disney+,2023-05-11,"['Animation', 'Family']"
2023-05-10,Beau Is Afraid,2023.0,https://boxd.it/4eoySn,3.5,,imax,2023-05-10,"['Comedy', 'Adventure', 'Fantasy']"
2023-05-10,Three Ages,1923.0,https://boxd.it/4ejh8d,3.0,,youtube,2023-05-09,"['Drama', 'Comedy']"
2023-05-09,Over the Hedge,2006.0,https://boxd.it/4e8yUB,3.0,,netflix,2023-05-08,"['Family', 'Comedy', 'Animation']"
2023-05-08,Dungeons & Dragons: Honor Among Thieves,2023.0,https://boxd.it/4dTRz3,3.5,,,2023-05-07,"['Adventure', 'Fantasy', 'Comedy']"
2023-05-06,Guardians of the Galaxy Vol. 3,2023.0,https://boxd.it/4dihzd,4.0,,imax,2023-05-06,"['Science Fiction', 'Adventure', 'Action']"
2023-05-08,The Empire Strikes Back,1980.0,https://boxd.it/4dIysv,5.0,Yes,disney+,2023-05-05,"['Adventure', 'Action', 'Science Fiction']"
2023-05-05,Star Wars,1977.0,https://boxd.it/4d0C8L,4.5,Yes,,2023-05-04,"['Adventure', 'Action', 'Science Fiction']"
2023-05-04,Shiva Baby,2020.0,https://boxd.it/4cIjih,3.5,,hbomax,2023-05-03,"['Comedy', 'Drama']"
2023-05-03,The Super Mario Bros. Movie,2023.0,https://boxd.it/4cs6wX,3.0,,,2023-05-02,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']"
2023-05-03,F9,2021.0,https://boxd.it/4cs6Ip,2.5,Yes,hbomax,2023-05-01,"['Action', 'Adventure', 'Crime', 'Thriller']"
2023-05-13,Rush Hour,1998.0,https://boxd.it/4eU3kj,3.5,Yes,,2023-04-30,"['Action', 'Comedy', 'Crime']"
2023-05-02,Ocean's Eight,2018.0,https://boxd.it/4c9JFB,3.0,,hbomax,2023-04-29,"['Crime', 'Comedy', 'Action']"
2023-04-29,Twister,1996.0,https://boxd.it/4bjVwx,3.5,,hulu,2023-04-28,"['Action', 'Adventure', 'Drama']"
2023-04-29,Fantastic Beasts: The Secrets of Dumbledore,2022.0,https://boxd.it/4b7F3P,2.0,,hbomax,2023-04-27,"['Fantasy', 'Adventure', 'Family']"
2023-04-29,The Bourne Supremacy,2004.0,https://boxd.it/4b8yF5,3.5,,hbomax,2023-04-26,"['Action', 'Drama', 'Thriller']"
2023-04-28,Batman: Under the Red Hood,2010.0,https://boxd.it/4b3Dcn,3.5,,hbomax,2023-04-25,"['Science Fiction', 'Crime', 'Action', 'Animation', 'Mystery']"
2023-04-26,Blade Runner 2049,2017.0,https://boxd.it/4aAWLj,4.5,,hulu,2023-04-24,"['Science Fiction', 'Drama']"
2023-04-24,Rush Hour 2,2001.0,https://boxd.it/4a4khV,3.5,Yes,appletv,2023-04-23,"['Action', 'Comedy', 'Crime']"
2023-04-24,Power Rangers,2017.0,https://boxd.it/49SyrL,3.0,,,2023-04-22,"['Action', 'Adventure', 'Science Fiction']"
2023-04-22,Star Wars: Episode II - Attack of the Clones,2002.0,https://boxd.it/49sWFP,2.5,Yes,disney+,2023-04-21,"['Adventure', 'Action', 'Science Fiction']"
2023-04-22,Star Wars: Episode I - The Phantom Menace,1999.0,https://boxd.it/49iAh7,2.5,Yes,disney+,2023-04-20,"['Adventure', 'Action', 'Science Fiction']"
2023-04-21,Star Wars: The Rise of Skywalker,2019.0,https://boxd.it/49duhZ,2.5,Yes,disney+,2023-04-19,"['Adventure', 'Action', 'Science Fiction']"
2023-04-20,Star Wars: The Last Jedi,2017.0,https://boxd.it/48OTzT,4.0,,,2023-04-18,"['Adventure', 'Action', 'Science Fiction']"
2023-04-19,The 40 Year Old Virgin,2005.0,https://boxd.it/48CFmx,4.0,,showtime,2023-04-17,"['Comedy', 'Romance']"
2023-04-19,Return of the Jedi,1983.0,https://boxd.it/48BMID,3.5,,,2023-04-16,"['Adventure', 'Action', 'Science Fiction']"
2023-04-16,65,2023.0,https://boxd.it/47XQ3f,2.0,,,2023-04-15,"['Science Fiction', 'Adventure', 'Thriller']"
2023-04-16,The Empire Strikes Back,1980.0,https://boxd.it/47WCpz,5.0,,,2023-04-14,"['Adventure', 'Action', 'Science Fiction']"
2023-04-15,Evangelion: 3.0+1.0 Thrice Upon a Time,2021.0,https://boxd.it/47Aw3j,4.5,Yes,amazonprime,2023-04-13,"['Animation', 'Action', 'Science Fiction', 'Drama']"
2023-04-15,Evangelion: 3.0 You Can (Not) Redo,2012.0,https://boxd.it/47AvUB,3.5,Yes,,2023-04-12,"['Animation', 'Science Fiction', 'Action', 'Drama']"
2023-04-13,Evangelion: 2.0 You Can (Not) Advance,2009.0,https://boxd.it/479sBd,4.0,Yes,amazonprime,2023-04-11,"['Animation', 'Science Fiction', 'Action', 'Drama']"
2023-04-11,The Magnificent Seven,2016.0,https://boxd.it/46F5yZ,3.0,,amazonprime,2023-04-10,"['Adventure', 'Action', 'Western']"
2023-04-10,Trance,2013.0,https://boxd.it/46gKGl,2.5,,,2023-04-09,"['Thriller', 'Crime', 'Drama', 'Mystery']"
2023-04-11,Star Wars: The Rise of Skywalker,2019.0,https://boxd.it/46Detv,2.5,,disney+,2023-04-08,"['Adventure', 'Action', 'Science Fiction']"
2023-04-08,Nope,2022.0,https://boxd.it/45DWBp,4.5,Yes,amazonprime,2023-04-07,"['Horror', 'Mystery', 'Science Fiction']"
2023-04-06,Ralph Breaks the Internet,2018.0,https://boxd.it/453KtV,3.0,,disney+,2023-04-05,"['Family', 'Animation', 'Comedy', 'Adventure']"
2023-04-05,Elizabethtown,2005.0,https://boxd.it/44G9tt,2.0,,amazonprime,2023-04-04,"['Comedy', 'Drama', 'Romance']"
2023-04-05,Master and Commander: The Far Side of the World,2003.0,https://boxd.it/44Dhcp,4.0,,hbomax,2023-04-03,"['Adventure', 'Drama', 'War']"
2023-04-09,Evangelion: 1.0 You Are (Not) Alone,2007.0,https://boxd.it/45LVVz,3.5,Yes,amazonprime,2023-04-02,"['Animation', 'Science Fiction', 'Action', 'Drama']"
2023-04-04,Taxi,2004.0,https://boxd.it/44ryaB,2.0,,,2023-04-01,"['Action', 'Comedy', 'Thriller', 'Crime']"
2023-04-02,John Wick: Chapter 2,2017.0,https://boxd.it/43MDyL,4.0,Yes,,2023-03-31,"['Action', 'Thriller', 'Crime']"
2023-03-30,Hardcore Henry,2015.0,https://boxd.it/43aQqf,2.5,,netflix,2023-03-30,"['Action', 'Adventure', 'Science Fiction']"
2023-03-30,Lupin III: The First,2019.0,https://boxd.it/436E73,3.5,,hulu,2023-03-29,"['Adventure', 'Action', 'Animation']"
2023-04-02,Set It Off,1996.0,https://boxd.it/43MDY5,4.0,,,2023-03-28,"['Crime', 'Drama', 'Thriller']"
2023-03-28,First Reformed,2017.0,https://boxd.it/42Fs1X,4.5,,hbomax,2023-03-27,['Drama']
2023-04-02,John Wick,2014.0,https://boxd.it/43MCAL,4.0,Yes,,2023-03-26,"['Action', 'Thriller']"
2023-03-26,John Wick: Chapter 4,2023.0,https://boxd.it/4291SL,5.0,,,2023-03-25,"['Action', 'Thriller', 'Crime']"
2023-03-25,Rocky III,1982.0,https://boxd.it/41NI4b,3.0,,netflix,2023-03-24,['Drama']
2023-03-27,Sicario,2015.0,https://boxd.it/42ruTf,4.0,,,2023-03-23,"['Action', 'Crime', 'Thriller']"
2023-03-25,21 Jump Street,2012.0,https://boxd.it/41IRd7,3.5,,netflix,2023-03-22,"['Action', 'Comedy', 'Crime']"
2023-03-22,Sicario: Day of the Soldado,2018.0,https://boxd.it/411OHR,3.0,,showtime,2023-03-21,"['Action', 'Crime', 'Thriller']"
2023-03-22,Five Came Back,2017.0,https://boxd.it/411erX,4.0,,netflix,2023-03-20,"['Documentary', 'War']"
2023-03-20,Sunshine,2007.0,https://boxd.it/40yarh,4.5,Yes,,2023-03-19,"['Drama', 'Science Fiction', 'Thriller']"
2023-03-19,Battledogs,2013.0,https://boxd.it/40dRE7,2.0,,,2023-03-18,"['Action', 'Horror', 'Science Fiction']"
2023-03-17,Making of The Last of Us,2023.0,https://boxd.it/3ZwTfR,,,hbomax,2023-03-17,['Documentary']
2023-03-17,Chungking Express,1994.0,https://boxd.it/3ZwSs1,5.0,Yes,hbomax,2023-03-16,"['Drama', 'Comedy', 'Romance']"
2023-03-19,Brokeback Mountain,2005.0,https://boxd.it/402bCB,4.0,,netflix,2023-03-15,"['Drama', 'Romance']"
2023-03-16,The Bad News Bears,1976.0,https://boxd.it/3Zrolz,3.0,,hbomax,2023-03-14,"['Family', 'Comedy']"
2023-03-14,28 Weeks Later,2007.0,https://boxd.it/3YXoh3,3.0,,,2023-03-13,"['Horror', 'Thriller', 'Science Fiction']"
2023-03-13,TÁR,2022.0,https://boxd.it/3YtZYj,4.5,Yes,peacock,2023-03-12,"['Drama', 'Music']"
2023-03-13,Marlon Wayans: God Loves Me,2023.0,https://boxd.it/3Yu0t7,,Yes,,2023-03-11,['Comedy']
2023-03-11,Infinity Pool,2023.0,https://boxd.it/3Y1tYv,3.0,,,2023-03-10,"['Horror', 'Science Fiction', 'Thriller']"
2023-03-10,Creed III,2023.0,https://boxd.it/3XEsQz,4.0,,,2023-03-09,"['Drama', 'Action']"
2023-03-09,Creed II,2018.0,https://boxd.it/3Xu2PP,3.0,Yes,hbomax,2023-03-08,"['Drama', 'Action']"
2023-03-08,Rocky II,1979.0,https://boxd.it/3XeRiZ,3.5,,netflix,2023-03-07,['Drama']
2023-03-07,Arrival,2016.0,https://boxd.it/3WOPfd,4.5,,,2023-03-06,"['Drama', 'Science Fiction', 'Mystery']"
2023-03-08,Chris Rock: Selective Outrage,2023.0,https://boxd.it/3X4Nu3,,,,2023-03-05,['Comedy']
2023-03-08,Marlon Wayans: God Loves Me,2023.0,https://boxd.it/3Xdqun,,,hbomax,2023-03-04,['Comedy']
2023-03-04,Creed,2015.0,https://boxd.it/3VUhYB,4.0,,,2023-03-03,['Drama']
2023-03-08,The Hunger Games: Mockingjay - Part 1,2014.0,https://boxd.it/3Xe4Jd,2.5,,,2023-03-02,"['Science Fiction', 'Adventure', 'Thriller']"
2023-03-07,Creed II,2018.0,https://boxd.it/3WWqw5,3.0,,,2023-03-02,"['Drama', 'Action']"
2023-03-04,Tampopo,1985.0,https://boxd.it/3VUidV,4.0,,hbomax,2023-03-01,['Comedy']
2023-03-02,Men in Black II,2002.0,https://boxd.it/3Vr6O3,2.5,,,2023-02-28,"['Action', 'Adventure', 'Comedy', 'Science Fiction']"
2023-02-28,All That Jazz,1979.0,https://boxd.it/3V6cmn,4.0,,,2023-02-27,['Drama']
2023-02-28,28 Days Later,2002.0,https://boxd.it/3UW0Gb,4.0,Yes,,2023-02-26,"['Horror', 'Thriller', 'Science Fiction']"
2023-02-26,Garth Marenghi's Darkplace,2004.0,https://boxd.it/3UuV3f,4.0,,amazonprime,2023-02-25,[]
2023-02-28,Men in Black,1997.0,https://boxd.it/3V6dyf,4.0,,,2023-02-24,"['Action', 'Adventure', 'Comedy', 'Science Fiction']"
2023-02-19,Edge of Tomorrow,2014.0,https://boxd.it/3SbmpT,4.0,,hbomax,2023-02-23,"['Action', 'Science Fiction']"
2023-02-23,Kill Bill: The Origin of O-Ren,2003.0,https://boxd.it/3TDFmT,3.5,,,2023-02-22,[]
2023-02-22,Transformers: Age of Extinction,2014.0,https://boxd.it/3Tm1cZ,1.5,,amazonprime,2023-02-21,"['Science Fiction', 'Action', 'Adventure']"
2023-02-22,Caged Heat,1974.0,https://boxd.it/3Tel41,3.0,,,2023-02-20,['Action']
2023-02-20,Dinosaur,2000.0,https://boxd.it/3SBigP,1.5,,disney+,2023-02-19,"['Family', 'Animation']"
2023-02-20,Taylor Tomlinson: Look at You,2022.0,https://boxd.it/3SzDWX,,,netflix,2023-02-18,['Comedy']
2023-02-19,Shake! Otis at Monterey,1987.0,https://boxd.it/3SsUwX,4.0,,,2023-02-18,"['Documentary', 'Music']"
2023-02-19,The Beach,2000.0,https://boxd.it/3Sr0xD,3.0,,,2023-02-18,"['Drama', 'Adventure', 'Romance', 'Thriller']"
2023-02-18,Fighting,2009.0,https://boxd.it/3S5kgj,2.5,,hbomax,2023-02-17,['Action']
2023-02-19,Ant-Man and the Wasp: Quantumania,2023.0,https://boxd.it/3Sla4J,3.0,,,2023-02-16,"['Action', 'Adventure', 'Science Fiction']"
2023-02-17,Any Given Sunday,1999.0,https://boxd.it/3RG8vV,2.5,,,2023-02-15,['Drama']
2023-02-16,Gridiron Gang,2006.0,https://boxd.it/3RupZf,3.0,,hbomax,2023-02-14,"['Crime', 'Drama']"
2023-02-06,Nick and Norah's Infinite Playlist,2008.0,https://boxd.it/3OOF5P,3.5,,hulu,2023-02-13,"['Comedy', 'Music', 'Drama']"
2023-02-15,eXistenZ,1999.0,https://boxd.it/3R9X67,3.5,,,2023-02-12,"['Action', 'Thriller', 'Science Fiction', 'Horror']"
2023-02-12,Burlesque,2010.0,https://boxd.it/3QxxyD,3.0,,appletv,2023-02-11,"['Drama', 'Romance']"
2023-02-05,The Keep,1983.0,https://boxd.it/3OBTDv,2.5,,,2023-02-10,"['Drama', 'Fantasy', 'Horror']"
2023-02-11,Chef,2014.0,https://boxd.it/3QdcPt,3.0,Yes,,2023-02-09,['Comedy']
